Common garden,Provenance,R (bloc no),Longitude,Latitude,Plot size in meters,Stem survival-1976,Stem survival-1977,Stem survival-1978,Stem survival-1979,Stem survival-1980,Stem survival-1981,Stem survival-1982,Stem survival-1983,Stem survival-1984,Stem survival-1985,Stem survival-1986,Stem survival-1987,Stem survival-1988,Stem survival-1989,Stem survival-1990,Stem survival-1991,Stem survival-1992,Stem survival-1993,Stem survival-1994,Stem survival-1995,Stem survival-1996,Stem survival-1997,Stem survival-1998,Stem survival-1999,Stem survival-2000,Stem survival-2001,Stem survival-2002,Stem survival-2003,Stem survival-2004,Stem survival-2005,Stem survival-2006,Stem survival-2007,Stem survival-2008,Stem survival-2009,Stem survival-2010,Stem survival-2011,Stem survival-2012,Stem survival-2013,Stem survival-2014,Stem survival-2015,Stem survival-2016,Stem survival-2017,NPP-1976,NPP-1977,NPP-1978,NPP-1979,NPP-1980,NPP-1981,NPP-1982,NPP-1983,NPP-1984,NPP-1985,NPP-1986,NPP-1987,NPP-1988,NPP-1989,NPP-1990,NPP-1991,NPP-1992,NPP-1993,NPP-1994,NPP-1995,NPP-1996,NPP-1997,NPP-1998,NPP-1999,NPP-2000,NPP-2001,NPP-2002,NPP-2003,NPP-2004,NPP-2005,NPP-2006,NPP-2007,NPP-2008,NPP-2009,NPP-2010,NPP-2011,NPP-2012,NPP-2013,NPP-2014,NPP-2015,NPP-2016
Mont-Laurier,321,3,-72.1,46.93333333,120,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,na,na,0,0,0,0,0,0.003442415,0.006532711,0.017821627,0.027554132,0.040267131,0.061501344,0.080210428,0.088377464,0.087537452,0.10020692,0.105825524,0.097874119,0.125490173,0.120766319,0.116858239,0.108072082,0.160495226,0.150670205,0.137708523,0.134945566,0.152830543,0.155039008,0.12119685,0.130992855,0.112637583,0.068048508,0.117450215,0.120576558,0.123816712,0.156013031,0.129442817,0.134046221,0.101835693,0.136777924,0.127521509,na
Mont-Laurier,321,4,-72.1,46.93333333,120,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,na,na,0,0,0,0.002448954,0.005824119,0.01583026,0.021073891,0.039483244,0.065280225,0.089110568,0.11704254,0.1618492,0.168300814,0.116137236,0.172800016,0.171917367,0.173082107,0.187257943,0.134051757,0.125432194,0.121247087,0.161168938,0.116611979,0.109881104,0.134814852,0.12760588,0.142972602,0.095827493,0.116474157,0.087126357,0.063156407,0.096081026,0.074858643,0.081141906,0.106647919,0.08787217,0.099845536,0.102116112,0.084938805,0.090907222,na
Mont-Laurier,321,6,-72.1,46.93333333,120,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,na,na,0,0,0,0,0.006529842,0.014893057,0.025601007,0.046121886,0.084672806,0.107459762,0.13699817,0.195376975,0.219642607,0.177266552,0.186596167,0.205772678,0.208632367,0.21672756,0.144346998,0.170586829,0.147692943,0.222479917,0.138627504,0.152276601,0.127610415,0.129428348,0.131267513,0.107268195,0.155218267,0.089863718,0.068316433,0.110215753,0.085862544,0.098039172,0.116804854,0.082311987,0.074132914,0.054506841,0.054276654,0.058048588,na
Mont-Laurier,325,3,-73.63333333,50.45,120,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,na,na,0,0,0,0,0,0,0.002536222,0.009794569,0.024752187,0.050541958,0.073794348,0.100925282,0.142188945,0.132179343,0.16547474,0.191369589,0.182412078,0.224481087,0.214137264,0.204780417,0.201980185,0.291665921,0.277477141,0.265632713,0.266199844,0.231151742,0.18491774,0.166967905,0.201709067,0.163699997,0.103456862,0.146322085,0.111682042,0.100125892,0.163387528,0.147700185,0.129745383,0.089275883,0.092284587,0.084659854,na
Mont-Laurier,325,4,-73.63333333,50.45,120,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,na,na,0.004782288,0.006456705,0.011034588,0.018019612,0.026860651,0.028790509,0.035964271,0.042744995,0.056241234,0.067862481,0.082426146,0.111466055,0.117013258,0.11988999,0.150727447,0.175880823,0.18914693,0.215909684,0.137843574,0.204797904,0.191110117,0.288961318,0.261702092,0.214989165,0.21254903,0.204693387,0.192819573,0.178632616,0.21027637,0.182566669,0.130799103,0.193108619,0.145531043,0.120654493,0.16438284,0.136098081,0.127501361,0.114865334,0.120344914,0.127754469,na
Mont-Laurier,325,6,-73.63333333,50.45,120,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,na,na,0,0,0,0,0.001539934,0.00546935,0.010008261,0.017984754,0.033672472,0.055505428,0.070141119,0.10294881,0.127472923,0.111663853,0.127858303,0.126421803,0.141876879,0.162150693,0.123103357,0.120661546,0.154251363,0.199569119,0.161692324,0.161821793,0.160336245,0.140659357,0.157881813,0.125345833,0.144399184,0.105580928,0.089634366,0.098275509,0.070338906,0.077886357,0.104062206,0.091906475,0.071342739,0.054875588,0.056399469,0.054709343,na
Mont-Laurier,326,3,-73.45,49.03333333,120,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,na,na,0,0,0,0,0.005140665,0.01184274,0.020509366,0.039151523,0.059297347,0.084079405,0.108634936,0.129678937,0.136368206,0.122697754,0.165975103,0.147228515,0.162576469,0.185611288,0.144163984,0.126510948,0.131653651,0.182633075,0.162002286,0.132306246,0.140684312,0.119812723,0.129392929,0.107410234,0.125362037,0.08445784,0.060091651,0.099733282,0.087789484,0.094839223,0.127500196,0.104527872,0.079674183,0.080766737,0.071776332,0.083259735,na
Mont-Laurier,326,4,-73.45,49.03333333,120,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,na,na,0,0,0,0,0,0.008652919,0.018317204,0.034059256,0.054815378,0.081377587,0.108594801,0.154961631,0.158343939,0.155861453,0.177836772,0.193949337,0.185242975,0.195987523,0.171003218,0.153332862,0.132105957,0.193484181,0.175521721,0.167369484,0.159395541,0.138581042,0.159933198,0.128696254,0.13715342,0.09893517,0.08460255,0.119767004,0.083994692,0.085967865,0.108903348,0.098182539,0.11756584,0.08891403,0.094146437,0.107405605,na
Mont-Laurier,326,6,-73.45,49.03333333,120,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,na,na,0,0,0,0,0.000882424,0.001243121,0.006120411,0.013906513,0.033474573,0.050787954,0.070978567,0.111426923,0.117075954,0.121717386,0.124634977,0.151552685,0.153114882,0.204910827,0.165854987,0.152205531,0.199210781,0.281413862,0.237340665,0.203170108,0.190994069,0.158229776,0.15557094,0.144688649,0.162932824,0.121507496,0.090880514,0.14316921,0.096317969,0.084419073,0.099459214,0.124638294,0.126352852,0.114339858,0.0847739,0.080352231,na
Mont-Laurier,329,3,-71.2,47.86666667,120,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,na,na,0,0,0,0,0,0.001497762,0.006659801,0.017548694,0.036614896,0.062940623,0.079267509,0.120578311,0.118705184,0.132659276,0.142621163,0.155102422,0.170004591,0.189426654,0.160470613,0.159177715,0.173909338,0.241548747,0.224911893,0.223210269,0.220489149,0.226831628,0.199289121,0.15090114,0.206930628,0.152476308,0.114872759,0.168518278,0.160281371,0.142405652,0.187973565,0.151224314,0.157797188,0.14016929,0.145387695,0.164887327,na
Mont-Laurier,329,4,-71.2,47.86666667,120,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,na,na,0,0,0,0,0,0.001249688,0.002182185,0.007562867,0.018616226,0.035192629,0.052270829,0.067365465,0.085069041,0.077209849,0.11096878,0.128054924,0.1480239,0.173141615,0.156187597,0.125743783,0.14484769,0.204886858,0.228839571,0.19521668,0.2169401,0.178039795,0.167755988,0.156555584,0.190907769,0.133665209,0.137685123,0.185573504,0.160085074,0.12717975,0.170276673,0.121850026,0.120197967,0.114796815,0.110324857,0.135563485,na
Mont-Laurier,329,6,-71.2,47.86666667,120,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,na,na,0,0,0,0,0,0,0.002389328,0.008325971,0.014636054,0.032778337,0.054546504,0.078754678,0.090266914,0.103616644,0.123252874,0.13725412,0.150370152,0.17300865,0.153765172,0.148779729,0.159624375,0.194161905,0.154707941,0.14581597,0.172549282,0.143066222,0.143268152,0.130612302,0.17162936,0.108271139,0.085344086,0.128202843,0.114428274,0.117306451,0.146904784,0.114957204,0.128497009,0.098858092,0.100571058,0.087088796,na
Mont-Laurier,332,3,-67.11666667,48.5,120,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,na,na,0,0,0,0,0,0.002546063,0.004230361,0.014809276,0.031787673,0.056834224,0.084548777,0.107729704,0.130953095,0.097865444,0.125614733,0.132387083,0.142302088,0.189473345,0.135893659,0.137633583,0.168354396,0.260109709,0.190886013,0.190827439,0.231596042,0.184590263,0.145350358,0.146710432,0.178063882,0.132816182,0.083715759,0.149065556,0.121732889,0.116391111,0.135012248,0.128229863,0.133188116,0.103802767,0.105959069,0.085247998,na
Mont-Laurier,332,4,-67.11666667,48.5,120,16,16,16,16,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,na,na,0,0,0,0,0,0.001351549,0.002996414,0.009208476,0.016878571,0.037185062,0.062736677,0.090785982,0.119252218,0.115941277,0.161790498,0.152148092,0.154455915,0.182455179,0.166071228,0.144644636,0.168670252,0.203237412,0.172925484,0.149717238,0.171588357,0.16142058,0.142475959,0.119304505,0.119325229,0.098393526,0.063821387,0.097151672,0.091874521,0.085356384,0.129685827,0.094543643,0.102191297,0.073816703,0.073900235,0.088769201,na
