Common garden,r2,Prov
Mont-Laurier,0.961902313,Prov321
Mont-Laurier,0.959406084,Prov325
Mont-Laurier,0.953429677,Prov326
Mont-Laurier,0.978422371,Prov329
Mont-Laurier,0.969485162,Prov332
Mont-Laurier,0.972620585,Prov333
Mont-Laurier,0.967398973,Prov336
Mont-Laurier,0.953434043,Prov338
Mont-Laurier,0.964703823,Prov342
Mont-Laurier,0.966270145,Prov345
Mont-Laurier,0.961417809,Prov352
Mont-Laurier,0.958047049,Prov355
Mont-Laurier,0.973752847,Prov369
Mont-Laurier,0.954519835,Prov1329
Mont-Laurier,0.965822084,Prov1528
Mont-Laurier,0.972611267,Prov1530
Mont-Laurier,0.964964486,Prov1531
Mont-Laurier,0.956899333,Prov1534
Mont-Laurier,0.96557765,Prov1538
Mont-Laurier,0.937933974,Prov3268
Mont-Laurier,0.965369519,Prov4277
Mont-Laurier,0.961893566,Prov4344
Mont-Laurier,0.962615876,Prov4351
Mont-Laurier,0.968333971,Prov4353
Mont-Laurier,0.971394119,Prov4360
Mont-Laurier,0.970252529,Prov6801
Mont-Laurier,0.960552306,Prov6802
Mont-Laurier,0.967314888,Prov6804
Mont-Laurier,0.969851749,Prov6805
Mont-Laurier,0.960545958,Prov6901
Mont-Laurier,0.964734674,Prov6907
Mont-Laurier,0.97760475,Prov6909
Mont-Laurier,0.981980627,Prov6914
Mont-Laurier,0.975688028,Prov6917
Mont-Laurier,0.975301567,Prov6922
Mont-Laurier,0.966485605,Prov6927
Mont-Laurier,0.95310311,Prov6930
Mont-Laurier,0.961338587,Prov6938
Mont-Laurier,0.960244931,Prov6965
Mont-Laurier,0.979100337,Prov6968
Mont-Laurier,0.965076566,Prov6973
Mont-Laurier,0.97577963,Prov6979
Chibougamau,0.988460911,Prov321
Chibougamau,0.973369628,Prov325
Chibougamau,0.979240799,Prov326
Chibougamau,0.979895098,Prov329
Chibougamau,0.980934379,Prov332
Chibougamau,0.980288221,Prov333
Chibougamau,0.982196889,Prov336
Chibougamau,0.989117706,Prov338
Chibougamau,0.974354137,Prov342
Chibougamau,0.988217883,Prov345
Chibougamau,0.979056724,Prov352
Chibougamau,0.98062175,Prov355
Chibougamau,0.98060149,Prov369
Chibougamau,0.986165759,Prov1329
Chibougamau,0.979244805,Prov1528
Chibougamau,0.982190692,Prov1530
Chibougamau,0.978672999,Prov1531
Chibougamau,0.982133458,Prov1534
Chibougamau,0.987726729,Prov1538
Chibougamau,0.972134486,Prov3268
Chibougamau,0.971970745,Prov4277
Chibougamau,0.980793601,Prov4344
Chibougamau,0.979760648,Prov4351
Chibougamau,0.978510402,Prov4353
Chibougamau,0.979901425,Prov4360
Chibougamau,0.976089556,Prov6801
Chibougamau,0.97458003,Prov6802
Chibougamau,0.984561653,Prov6804
Chibougamau,0.979964234,Prov6805
Chibougamau,0.985369921,Prov6901
Chibougamau,0.988858128,Prov6907
Chibougamau,0.984734337,Prov6909
Chibougamau,0.982707878,Prov6914
Chibougamau,0.985754967,Prov6917
Chibougamau,0.981724801,Prov6922
Chibougamau,0.982999412,Prov6927
Chibougamau,0.984851134,Prov6930
Chibougamau,0.985838342,Prov6938
Chibougamau,0.978058534,Prov6965
Chibougamau,0.981961877,Prov6967
Chibougamau,0.980386243,Prov6970
Chibougamau,0.983524816,Prov6973
Chibougamau,0.974130615,Prov6979
Chibougamau,0.97305089,Prov6986
Chibougamau,0.975892024,Prov7000
