Common garden,Prov,xVar,Value,Std.Error,DF,tvalue,p-value,var
Mont-Laurier,Prov321,(Intercept),-0.117461027,0.173585695,99,-0.67667458,0.500190436,X(Intercept)
Mont-Laurier,Prov321,prevSummerTemp,-0.012928569,0.002301925,99,-5.616417184,1.79E-07,XprevSummerTemp
Mont-Laurier,Prov321,prevFallTemp,-0.000193254,0.001853235,99,-0.104279471,0.917158538,XprevFallTemp
Mont-Laurier,Prov321,WinterTemp,0.005754452,0.001126321,99,5.109071222,1.58E-06,XWinterTemp
Mont-Laurier,Prov321,SpringTemp,-0.003041166,0.001214417,99,-2.504219601,0.013906068,XSpringTemp
Mont-Laurier,Prov321,SummerTemp,-0.008159668,0.002314447,99,-3.525535943,0.000641865,XSummerTemp
Mont-Laurier,Prov321,FallTemp,0.001172183,0.001993967,99,0.587864699,0.557961697,XFallTemp
Mont-Laurier,Prov321,prevSummerSMI,0.001215302,0.000380881,99,3.19076731,0.001901357,XprevSummerSMI
Mont-Laurier,Prov321,prevFallSMI,-0.0012586,0.000435346,99,-2.891032893,0.00471981,XprevFallSMI
Mont-Laurier,Prov321,Snowfall,3.85E-05,3.53E-05,99,1.090865587,0.277979922,XSnowfall
Mont-Laurier,Prov321,SpringSMI,-0.001358313,0.000922493,99,-1.472437694,0.14407481,XSpringSMI
Mont-Laurier,Prov321,SummerSMI,0.000461104,0.00036423,99,1.265970214,0.208494725,XSummerSMI
Mont-Laurier,Prov321,FallSMI,0.000599017,0.000416414,99,1.438511634,0.153442857,XFallSMI
Mont-Laurier,Prov321,totalC:as.factor(Bloc)3,0.487939968,0.087600129,99,5.570082731,2.19E-07,XtotalC:as.factor(Bloc)3
Mont-Laurier,Prov321,totalC:as.factor(Bloc)4,0.386198194,0.068805361,99,5.612908469,1.82E-07,XtotalC:as.factor(Bloc)4
Mont-Laurier,Prov321,totalC:as.factor(Bloc)6,0.330587857,0.057868072,99,5.712785072,1.17E-07,XtotalC:as.factor(Bloc)6
Mont-Laurier,Prov321,s(Year):as.factor(Bloc)3Fx1,1.800640549,0.350813018,99,5.132764335,1.43E-06,Xs(Year):as.factor(Bloc)3Fx1
Mont-Laurier,Prov321,s(Year):as.factor(Bloc)4Fx1,1.609134007,0.301585158,99,5.335587532,6.04E-07,Xs(Year):as.factor(Bloc)4Fx1
Mont-Laurier,Prov321,s(Year):as.factor(Bloc)6Fx1,1.623936213,0.293684919,99,5.529518562,2.62E-07,Xs(Year):as.factor(Bloc)6Fx1
Mont-Laurier,Prov325,(Intercept),0.12438953,0.197014002,99,0.631374061,0.529251079,X(Intercept)
