PROV,BLOC,Height1978,Height1985,Height1993,Heigh20t07,Height2015
321,3,63,245.3846154,470.7692308,906.9230769,1136.923077
321,4,77.53333333,327.3333333,580.6666667,970,1201.466667
321,6,77,348.5,661.5,1152.5,1306
325,3,46.28571429,245,491.4285714,946.4285714,1144.285714
325,4,66.53333333,266.6666667,485,990,1184
325,6,58.35714286,244.6428571,456.4285714,866.4285714,1035
326,3,65.16666667,335.4166667,608.9583333,1121.666667,1172.5
326,4,69.9375,246.40625,444.6875,982.5,1146.875
326,6,72.58333333,269.5833333,513.3333333,1106.666667,1298.333333
329,3,50.4,244.6666667,502.6666667,939.3333333,1158.666667
329,4,53.06666667,233,428,873.3333333,1088
329,6,53.18181818,260.9090909,505.9090909,977.2727273,1140
332,3,50.5,260.7142857,510.7142857,962.8571429,1178.571429
332,4,53.69230769,199.6153846,455.7692308,803.8461538,1006.153846
332,6,59,254.3333333,463,953.3333333,1143.333333
333,3,74.6,313.3333333,558.6666667,1004.666667,1219.2
333,4,80.13333333,333.3333333,569.6666667,996,1208.666667
333,6,74,278.3333333,536.6666667,1053.333333,1165
336,3,52.63636364,242.7272727,505.4545455,859.0909091,1070.181818
336,4,68.46153846,315.3846154,568.0769231,962.3076923,1153.846154
336,6,57.46666667,289,543,948,1135.333333
338,3,71.21428571,296.4285714,536.4285714,978.5714286,1176.428571
338,4,78.40625,320.03125,507.65625,1128.75,1395
338,6,73.11538462,317.6923077,586.7307692,1153.461538,1318.461538
342,3,49.53846154,252.3076923,520.7692308,922.3076923,1148.461538
342,4,68.53333333,266,484,918,1146
342,6,50.6,226.3333333,442.6666667,864.6666667,1080.666667
345,3,56.6875,231.25,465.9375,888.75,1115
345,4,53.9375,237.8125,458.125,867.5,1090
345,6,67.13333333,286.3333333,535.3333333,1001.666667,1198.666667
352,3,66,249.6428571,490.7142857,887.8571429,1113.571429
352,4,96.57142857,359.2857143,575.7142857,1092.857143,1310
352,6,69.46153846,280.7692308,570.3846154,1093.846154,1275.384615
355,3,75.8,283.3333333,522.3333333,861.3333333,1061.333333
355,4,51.9375,252.5,506.875,924.375,1063.125
355,6,73.16666667,196.6666667,368.75,956.6666667,1125.833333
369,3,57.86666667,296.6666667,558.6666667,983.3333333,1162.666667
369,4,61.73333333,256.6666667,469.3333333,804.6666667,1013.333333
369,6,62.92857143,290.3571429,529.2857143,950.7142857,1150
1329,3,66.3125,315.625,618.75,1094.375,1320.625
1329,4,62.3,268,542,1062,1308
1329,6,86,346.875,675,1140,1348.75
1528,3,64.46666667,295.3333333,579.3333333,1045.333333,1279.333333
1528,4,66.57142857,321.7857143,599.2857143,1027.857143,1219.285714
1528,6,72.63636364,378.6363636,669.5454545,1155,1348.181818
1530,3,57,268.3333333,531.6666667,976.6666667,1131.666667
1530,4,64.13333333,227.6666667,435.3333333,857.3333333,1044
1530,6,87.54545455,343.6363636,597.2727273,1011.818182,1152.727273
1531,3,71.25,340.8333333,617.5,1033.333333,1180
1531,4,65.33333333,290,522.2222222,1017.777778,1195.555556
1531,6,79.35714286,325,624.2857143,1103.571429,1251.428571
1534,3,71.42857143,309.2857143,635,1100.714286,1324.285714
1534,4,71.53333333,310,563.3333333,998.6666667,1215.333333
1534,6,66.33333333,298.3333333,565.8333333,998.3333333,1183.333333
1538,3,62.4,310.6666667,592.6666667,1000,1246.666667
1538,4,61.625,285,541.5625,1003.75,1222.5
1538,6,85.28571429,377.5,675.7142857,1119.285714,1278.571429
3268,3,57.66666667,273.8888889,475,780,947.7777778
