Common garden,resp,iG,nX,edf,Ref.df,F,pValue,rn,var,R2,aic,bloc,i0,ii,selected.i0,re.sel,R2.inc
Mont-Laurier,NPP1980,1,1,1.765659712,2.229340259,4.126314058,0.013636259,s(GDD5p),GDD5p,0.112868193,-1008.947045,0,0,9,1,0,0.112868193
Mont-Laurier,NPP1981,1,1,2.930859019,3.655924667,7.098653809,7.74E-05,s(GDD5p),GDD5p,0.176094528,-887.4814258,0,0,9,1,0,0.176094528
Mont-Laurier,NPP1982,1,1,3.098261383,3.851347361,7.556239499,2.97E-05,s(GDD5p),GDD5p,0.18546647,-844.9047108,0,0,9,1,0,0.18546647
Mont-Laurier,NPP1983,1,1,2.967067717,3.698318835,9.498438451,2.50E-06,s(GDD5p),GDD5p,0.216559753,-725.0942242,0,0,9,1,0,0.216559753
Mont-Laurier,NPP1983,1,2,1.00068949,1.001373635,3.919418829,0.049876606,s(sf2),sf2,0.235772389,-727.179474,0,1,8,1,0,0.019212636
Mont-Laurier,NPP1984,1,1,3.194984402,3.963657775,9.366206272,1.32E-06,s(GDD5p),GDD5p,0.224874583,-608.4769561,0,0,9,1,0,0.224874583
Mont-Laurier,NPP1984,1,2,1.000217825,1.000433992,4.255202452,0.041216849,s(sf2),sf2,0.246172346,-610.8282335,0,1,8,1,0,0.021297763
Mont-Laurier,NPP1985,1,1,3.19995099,3.969414485,7.692941452,1.58E-05,s(GDD5p),GDD5p,0.192136376,-556.3604776,0,0,9,1,0,0.192136376
Mont-Laurier,NPP1986,1,1,3.416235756,4.219317023,8.654409382,2.35E-06,s(GDD5p),GDD5p,0.223076422,-510.0594003,0,0,9,1,0,0.223076422
Mont-Laurier,NPP1987,1,1,3.267335386,4.04742981,7.91301846,9.27E-06,s(GDD5p),GDD5p,0.199888019,-454.2873938,0,0,9,1,0,0.199888019
Mont-Laurier,NPP1988,1,1,3.636810736,4.473040684,7.177418657,1.88E-05,s(GDD5p),GDD5p,0.198955021,-432.4621145,0,0,9,1,0,0.198955021
Mont-Laurier,NPP1989,1,1,3.849854678,4.717479183,5.778411936,0.000139504,s(GDD5p),GDD5p,0.18530601,-467.6807076,0,0,9,1,0,0.18530601
Mont-Laurier,NPP1989,1,2,2.613032294,3.236742249,2.835573886,0.037076606,s(sf3),sf3,0.236066255,-472.2533038,0,1,6,1,0,0.050760245
Mont-Laurier,NPP1990,1,1,3.617513611,4.450874626,5.840067174,0.000163052,s(GDD5p),GDD5p,0.166437176,-403.4050465,0,0,9,1,0,0.166437176
Mont-Laurier,NPP1991,1,1,3.575635045,4.402752344,4.687868283,0.001180569,s(GDD5p),GDD5p,0.14863107,-392.0558545,0,0,9,1,0,0.14863107
Mont-Laurier,NPP1991,1,2,2.663519416,3.296571917,2.773869165,0.040732715,s(sf3),sf3,0.201129667,-396.4976874,0,1,6,1,0,0.052498598
Mont-Laurier,NPP1992,1,1,3.706593279,4.553159709,3.307012502,0.010636379,s(GDD5p),GDD5p,0.125407892,-416.9736337,0,0,9,1,0,0.125407892
Mont-Laurier,NPP1993,1,1,2.995832142,3.68473791,3.816598708,0.007607856,s(sf3),sf3,0.116286192,-400.7206433,0,0,6,1,0,0.116286192
Mont-Laurier,NPP1993,1,2,3.4040449,4.187934246,2.688697704,0.034063285,s(GDD5p),GDD5p,0.179580558,-405.6754902,0,1,8,1,0,0.063294366
Mont-Laurier,NPP1994,1,1,5.040595538,5.97660339,2.805227772,0.016165817,s(sf4),sf4,0.123446311,-448.2567072,0,0,5,1,0,0.123446311
Mont-Laurier,NPP1995,1,1,3.238068359,3.967609567,4.71816349,0.001457458,s(sf3),sf3,0.13653134,-477.7806475,0,0,6,1,0,0.13653134
Mont-Laurier,NPP1995,1,2,3.579801568,4.386255085,2.823680345,0.026743731,s(GDD5p),GDD5p,0.202449546,-483.1147485,0,1,8,1,0,0.065918206
Mont-Laurier,NPP1996,1,1,5.074760225,6.013165951,2.735239111,0.015638282,s(sf4),sf4,0.113799261,-471.4498383,0,0,5,1,0,0.113799261
Mont-Laurier,NPP1997,1,1,5.546008913,6.552505872,3.488910964,0.001770138,s(sf3),sf3,0.157993185,-403.157749,0,0,6,1,0,0.157993185
Mont-Laurier,NPP1998,1,1,2.859397114,3.525995104,4.568045635,0.00298705,s(sf3),sf3,0.134355709,-425.0871376,0,0,6,1,0,0.134355709
Mont-Laurier,NPP1999,1,1,2.825680104,3.486817284,3.590518027,0.011859472,s(sf3),sf3,0.091281398,-434.3442194,0,0,6,1,0,0.091281398
Mont-Laurier,NPP2000,1,1,5.451573279,6.452217345,3.146988018,0.004099639,s(sf3),sf3,0.172987226,-421.6605731,0,0,6,1,0,0.172987226
Mont-Laurier,NPP2001,1,1,3.072299286,3.773890808,3.889647402,0.006318845,s(sf3),sf3,0.104743734,-452.9503669,0,0,6,1,0,0.104743734
Mont-Laurier,NPP2002,1,1,6.146083678,7.176593092,3.976312139,0.00052093,s(sf3),sf3,0.182807231,-482.1309858,0,0,6,1,0,0.182807231
Mont-Laurier,NPP2003,1,1,6.423485741,7.453694338,3.425813456,0.001752843,s(sf3),sf3,0.173416783,-493.0656288,0,0,6,1,0,0.173416783
Mont-Laurier,NPP2004,1,1,5.991963248,7.018981356,3.571072921,0.001551443,s(sf3),sf3,0.162434978,-453.0520042,0,0,6,1,0,0.162434978
Mont-Laurier,NPP2005,1,1,5.320207306,6.312011971,3.576020997,0.002102033,s(sf3),sf3,0.149465986,-524.3701971,0,0,6,1,0,0.149465986
Mont-Laurier,NPP2006,1,1,3.591966998,4.438057905,2.420845177,0.049311471,s(sf2),sf2,0.118047303,-558.6745233,0,0,8,1,0,0.118047303
