Common garden,R (bloc no),Provenance,arbre,id,year,AgeC,Vinc_m3,Average_density,bm_inc_density
Mont-Laurier,3,1329,6,1329_157,1982,1,0.000216918,565,0.122558778
Mont-Laurier,3,1329,6,1329_157,1983,2,0.000460788,551,0.25389423
Mont-Laurier,3,1329,6,1329_157,1984,3,0.001036058,530.3,0.549421603
Mont-Laurier,3,1329,6,1329_157,1985,4,0.001840517,493.5,0.908295267
Mont-Laurier,3,1329,6,1329_157,1986,5,0.002219814,517.2,1.148087978
Mont-Laurier,3,1329,6,1329_157,1987,6,0.003702198,515.8,1.909593957
Mont-Laurier,3,1329,6,1329_157,1988,7,0.003904098,517,2.01841841
Mont-Laurier,3,1329,6,1329_157,1989,8,0.003483644,458.8,1.59829603
Mont-Laurier,3,1329,6,1329_157,1990,9,0.004582267,464.9,2.130295959
Mont-Laurier,3,1329,6,1329_157,1991,10,0.003456308,501.6,1.733684315
Mont-Laurier,3,1329,6,1329_157,1992,11,0.003896657,492.4,1.91871372
Mont-Laurier,3,1329,6,1329_157,1993,12,0.005776331,480.3,2.774371889
Mont-Laurier,3,1329,6,1329_157,1994,13,0.003312378,456.3,1.511437968
Mont-Laurier,3,1329,6,1329_157,1995,14,0.004365812,457,1.995175842
Mont-Laurier,3,1329,6,1329_157,1996,15,0.003683461,405.9,1.495116881
Mont-Laurier,3,1329,6,1329_157,1997,16,0.006462755,460.8,2.978037577
Mont-Laurier,3,1329,6,1329_157,1998,17,0.004054914,522.8,2.1199089
Mont-Laurier,3,1329,6,1329_157,1999,18,0.005080548,487.2,2.475243078
Mont-Laurier,3,1329,6,1329_157,2000,19,0.006498576,438.7,2.850925185
Mont-Laurier,3,1329,6,1329_157,2001,20,0.005861079,443.3,2.598216087
Mont-Laurier,3,1329,6,1329_157,2002,21,0.004869014,463.8,2.258248459
Mont-Laurier,3,1329,6,1329_157,2003,22,0.004674221,486,2.271671466
Mont-Laurier,3,1329,6,1329_157,2004,23,0.004989577,493.9,2.464352192
Mont-Laurier,3,1329,6,1329_157,2005,24,0.003929162,457.5,1.79759166
Mont-Laurier,3,1329,6,1329_157,2006,25,0.001604064,375.1,0.601684345
Mont-Laurier,3,1329,6,1329_157,2007,26,0.003571448,449,1.60358009
Mont-Laurier,3,1329,6,1329_157,2008,27,0.002820728,475.3,1.340691781
Mont-Laurier,3,1329,6,1329_157,2009,28,0.004064775,463,1.881990744
Mont-Laurier,3,1329,6,1329_157,2010,29,0.003150003,506.2,1.594531483
Mont-Laurier,3,1329,6,1329_157,2011,30,0.003458017,500,1.72900834
Mont-Laurier,3,1329,6,1329_157,2012,31,0.004780841,483.2,2.310102376
Mont-Laurier,3,1329,6,1329_157,2013,32,0.003243749,470.8,1.527157115
Mont-Laurier,3,1329,6,1329_157,2014,33,0.003459757,489.2,1.692513301
Mont-Laurier,3,1329,6,1329_157,2015,34,0.002734591,512.1,1.400384161
Mont-Laurier,3,1329,7,1329_158,1983,1,0.000341393,554.3,0.189234304
Mont-Laurier,3,1329,7,1329_158,1984,2,0.001260102,503.7,0.634713308
Mont-Laurier,3,1329,7,1329_158,1985,3,0.00252087,456.1,1.149768708
Mont-Laurier,3,1329,7,1329_158,1986,4,0.004151888,458.7,1.904470836
Mont-Laurier,3,1329,7,1329_158,1987,5,0.006538113,437.6,2.861078166
Mont-Laurier,3,1329,7,1329_158,1988,6,0.006053705,421.2,2.549820716
Mont-Laurier,3,1329,7,1329_158,1989,7,0.007860156,418.4,3.288689118
Mont-Laurier,3,1329,7,1329_158,1990,8,0.007680959,385.9,2.964082216
Mont-Laurier,3,1329,7,1329_158,1991,9,0.008122678,407.7,3.311615957
Mont-Laurier,3,1329,7,1329_158,1992,10,0.00806311,392.9,3.167995992
Mont-Laurier,3,1329,7,1329_158,1993,11,0.00897168,412.2,3.698126612
Mont-Laurier,3,1329,7,1329_158,1994,12,0.009621487,411.4,3.958279629
Mont-Laurier,3,1329,7,1329_158,1995,13,0.007357637,395.1,2.907002554
Mont-Laurier,3,1329,7,1329_158,1996,14,0.007125568,389.9,2.778259128
Mont-Laurier,3,1329,7,1329_158,1997,15,0.007402259,415.3,3.074158349
Mont-Laurier,3,1329,7,1329_158,1998,16,0.007110253,460.1,3.271427571
Mont-Laurier,3,1329,7,1329_158,1999,17,0.00947296,399.4,3.783500123
Mont-Laurier,3,1329,7,1329_158,2000,18,0.010276002,380.2,3.906935944
Mont-Laurier,3,1329,7,1329_158,2001,19,0.008359891,384.3,3.212706064
Mont-Laurier,3,1329,7,1329_158,2002,20,0.006874628,407.9,2.804160558
Mont-Laurier,3,1329,7,1329_158,2003,21,0.006332357,409.9,2.595633237
Mont-Laurier,3,1329,7,1329_158,2004,22,0.007963818,414,3.297020567
Mont-Laurier,3,1329,7,1329_158,2005,23,0.004352116,378.2,1.645970148
Mont-Laurier,3,1329,7,1329_158,2006,24,0.00382603,401.7,1.536916084
Mont-Laurier,3,1329,7,1329_158,2007,25,0.005789158,404.9,2.344030015
Mont-Laurier,3,1329,7,1329_158,2008,26,0.006155944,428.6,2.638437659
Mont-Laurier,3,1329,7,1329_158,2009,27,0.005751336,424.8,2.443167508
Mont-Laurier,3,1329,7,1329_158,2010,28,0.004485295,469.9,2.107639926
Mont-Laurier,3,1329,7,1329_158,2011,29,0.004041819,448,1.810734668
Mont-Laurier,3,1329,7,1329_158,2012,30,0.004281506,461.4,1.975486666
Mont-Laurier,3,1329,7,1329_158,2013,31,0.004391135,446.4,1.960202697
Mont-Laurier,3,1329,7,1329_158,2014,32,0.003353398,411.8,1.38092934
Mont-Laurier,3,1329,7,1329_158,2015,33,0.003311491,425,1.407383464
Mont-Laurier,3,1329,10,1329_159,1985,1,0.001084257,469.8,0.509384005
Mont-Laurier,3,1329,10,1329_159,1986,2,0.002794532,462.1,1.291353183
Mont-Laurier,3,1329,10,1329_159,1987,3,0.004526539,449.7,2.035584486
Mont-Laurier,3,1329,10,1329_159,1988,4,0.006059725,445.3,2.698395495
Mont-Laurier,3,1329,10,1329_159,1989,5,0.006262826,470.9,2.949164899
Mont-Laurier,3,1329,10,1329_159,1990,6,0.01140531,434.3,4.953326247
Mont-Laurier,3,1329,10,1329_159,1991,7,0.011652067,461.5,5.37742867
Mont-Laurier,3,1329,10,1329_159,1992,8,0.010128819,465.2,4.711926632
Mont-Laurier,3,1329,10,1329_159,1993,9,0.013135663,454.1,5.96490432
Mont-Laurier,3,1329,10,1329_159,1994,10,0.011509125,469.2,5.400081214
Mont-Laurier,3,1329,10,1329_159,1995,11,0.009052245,478.6,4.33240445
Mont-Laurier,3,1329,10,1329_159,1996,12,0.005946088,432.2,2.569899193
Mont-Laurier,3,1329,10,1329_159,1997,13,0.009658622,477.2,4.609094602
Mont-Laurier,3,1329,10,1329_159,1998,14,0.009729856,454.2,4.419300559
Mont-Laurier,3,1329,10,1329_159,1999,15,0.011602341,511.7,5.936917964
Mont-Laurier,3,1329,10,1329_159,2000,16,0.01076984,499.6,5.380612203
Mont-Laurier,3,1329,10,1329_159,2001,17,0.007667997,442.5,3.393088546
Mont-Laurier,3,1329,10,1329_159,2002,18,0.008526716,464.9,3.964070142
Mont-Laurier,3,1329,10,1329_159,2003,19,0.007387556,481.5,3.557108222
Mont-Laurier,3,1329,10,1329_159,2004,20,0.006554897,449.1,2.943804048
Mont-Laurier,3,1329,10,1329_159,2005,21,0.00363275,472.1,1.715021322
Mont-Laurier,3,1329,10,1329_159,2006,22,0.002983788,415.3,1.239167068
Mont-Laurier,3,1329,10,1329_159,2007,23,0.004606955,491.7,2.265239545
Mont-Laurier,3,1329,10,1329_159,2008,24,0.003768243,435.9,1.642577053
Mont-Laurier,3,1329,10,1329_159,2009,25,0.005061033,452.4,2.289611308
Mont-Laurier,3,1329,10,1329_159,2010,26,0.004442015,491.3,2.182361843
Mont-Laurier,3,1329,10,1329_159,2011,27,0.004786033,548.4,2.624660606
Mont-Laurier,3,1329,10,1329_159,2012,28,0.005134886,453.6,2.329184465
Mont-Laurier,3,1329,10,1329_159,2013,29,0.002289325,497.7,1.139397234
Mont-Laurier,3,1329,10,1329_159,2014,30,0.002546787,405.3,1.032212826
Mont-Laurier,3,1329,10,1329_159,2015,31,0.001730098,526.9,0.911588493
Mont-Laurier,3,1329,11,1329_160,1980,1,0.000372888,602.4,0.224627599
Mont-Laurier,3,1329,11,1329_160,1981,2,0.001014778,558.9,0.567159505
Mont-Laurier,3,1329,11,1329_160,1982,3,0.00151797,553.8,0.840651762
Mont-Laurier,3,1329,11,1329_160,1983,4,0.002767736,522.1,1.445034975
Mont-Laurier,3,1329,11,1329_160,1984,5,0.004593125,476.3,2.187705248
Mont-Laurier,3,1329,11,1329_160,1985,6,0.00406474,470.2,1.911240856
Mont-Laurier,3,1329,11,1329_160,1986,7,0.006041276,460.8,2.783820147
Mont-Laurier,3,1329,11,1329_160,1987,8,0.00822034,449.9,3.698330897
Mont-Laurier,3,1329,11,1329_160,1988,9,0.007737828,452.8,3.503688317
Mont-Laurier,3,1329,11,1329_160,1989,10,0.006102123,441,2.691036264
Mont-Laurier,3,1329,11,1329_160,1990,11,0.009652863,445.8,4.303246124
Mont-Laurier,3,1329,11,1329_160,1991,12,0.012603333,448.2,5.648813918
Mont-Laurier,3,1329,11,1329_160,1992,13,0.012025514,442.6,5.322492425
Mont-Laurier,3,1329,11,1329_160,1993,14,0.012388947,444.4,5.505647837
Mont-Laurier,3,1329,11,1329_160,1994,15,0.008192523,425,3.481822446
Mont-Laurier,3,1329,11,1329_160,1995,16,0.006457209,449,2.89928674
Mont-Laurier,3,1329,11,1329_160,1996,17,0.004936037,438,2.161983992
Mont-Laurier,3,1329,11,1329_160,1997,18,0.004559688,479.1,2.184546269
Mont-Laurier,3,1329,11,1329_160,1998,19,0.005407939,480.7,2.599596268
Mont-Laurier,3,1329,11,1329_160,1999,20,0.005353336,461.8,2.472170555
Mont-Laurier,3,1329,11,1329_160,2000,21,0.00492143,470.1,2.313564105
Mont-Laurier,3,1329,11,1329_160,2001,22,0.004326578,446.2,1.930519121
Mont-Laurier,3,1329,11,1329_160,2002,23,0.003908662,473.9,1.852314699
Mont-Laurier,3,1329,11,1329_160,2003,24,0.003304822,481.8,1.592263263
Mont-Laurier,3,1329,11,1329_160,2004,25,0.003752634,504.3,1.892453144
Mont-Laurier,3,1329,11,1329_160,2005,26,0.003002647,462.5,1.388724106
Mont-Laurier,3,1329,11,1329_160,2006,27,0.001693346,452.3,0.765900214
Mont-Laurier,3,1329,11,1329_160,2007,28,0.002426127,487.6,1.182979602
Mont-Laurier,3,1329,11,1329_160,2008,29,0.002578839,478.4,1.233716423
Mont-Laurier,3,1329,11,1329_160,2009,30,0.002840692,529.1,1.503010126
Mont-Laurier,3,1329,11,1329_160,2010,31,0.002961188,562.8,1.666556513
Mont-Laurier,3,1329,11,1329_160,2011,32,0.002891618,555.7,1.606872018
Mont-Laurier,3,1329,11,1329_160,2012,33,0.004039793,526.6,2.127355118
Mont-Laurier,3,1329,11,1329_160,2013,34,0.002632432,505.8,1.331484035
Mont-Laurier,3,1329,11,1329_160,2014,35,0.00302659,580.1,1.755724588
Mont-Laurier,3,1329,11,1329_160,2015,36,0.003663708,598.7,2.193461881
Mont-Laurier,3,1329,13,1329_161,1982,1,0.000198812,527.7,0.104913065
Mont-Laurier,3,1329,13,1329_161,1983,2,0.000331557,520.3,0.172509164
Mont-Laurier,3,1329,13,1329_161,1984,3,0.001050455,469,0.492663362
Mont-Laurier,3,1329,13,1329_161,1985,4,0.001711997,442.7,0.757901132
Mont-Laurier,3,1329,13,1329_161,1986,5,0.003334391,438,1.460463069
Mont-Laurier,3,1329,13,1329_161,1987,6,0.005687491,425.6,2.420596258
Mont-Laurier,3,1329,13,1329_161,1988,7,0.00661344,428.2,2.831875138
Mont-Laurier,3,1329,13,1329_161,1989,8,0.006554386,422.7,2.77053915
Mont-Laurier,3,1329,13,1329_161,1990,9,0.00979544,400.8,3.926012471
Mont-Laurier,3,1329,13,1329_161,1991,10,0.011696815,389.1,4.551230526
Mont-Laurier,3,1329,13,1329_161,1992,11,0.012258519,392.9,4.816372102
Mont-Laurier,3,1329,13,1329_161,1993,12,0.012119232,412.5,4.999183099
Mont-Laurier,3,1329,13,1329_161,1994,13,0.01186799,407.9,4.840952899
Mont-Laurier,3,1329,13,1329_161,1995,14,0.010893175,397.6,4.331126317
Mont-Laurier,3,1329,13,1329_161,1996,15,0.009670941,413.8,4.001835173
Mont-Laurier,3,1329,13,1329_161,1997,16,0.01432564,423.8,6.071206415
Mont-Laurier,3,1329,13,1329_161,1998,17,0.009128758,466.5,4.258565371
Mont-Laurier,3,1329,13,1329_161,1999,18,0.007037016,455.1,3.202545966
Mont-Laurier,3,1329,13,1329_161,2000,19,0.009993926,408.1,4.078521173
Mont-Laurier,3,1329,13,1329_161,2001,20,0.010110874,456.2,4.61258057
Mont-Laurier,3,1329,13,1329_161,2002,21,0.009544724,421,4.018328695
Mont-Laurier,3,1329,13,1329_161,2003,22,0.007013788,388,2.721349548
Mont-Laurier,3,1329,13,1329_161,2004,23,0.007471966,441,3.295137077
Mont-Laurier,3,1329,13,1329_161,2005,24,0.004557133,402.9,1.836068869
Mont-Laurier,3,1329,13,1329_161,2006,25,0.003855462,430.3,1.659005389
Mont-Laurier,3,1329,13,1329_161,2007,26,0.005330386,446,2.377352118
Mont-Laurier,3,1329,13,1329_161,2008,27,0.006928313,445.2,3.084485098
Mont-Laurier,3,1329,13,1329_161,2009,28,0.006318374,479,3.026500908
Mont-Laurier,3,1329,13,1329_161,2010,29,0.009041219,494.6,4.471786911
Mont-Laurier,3,1329,13,1329_161,2011,30,0.005398721,503.8,2.719875835
Mont-Laurier,3,1329,13,1329_161,2012,31,0.006505645,480.2,3.124010918
Mont-Laurier,3,1329,13,1329_161,2013,32,0.004255971,472.1,2.009243788
Mont-Laurier,3,1329,13,1329_161,2014,33,0.004520023,483,2.183171285
Mont-Laurier,3,1329,13,1329_161,2015,34,0.002736474,379.8,1.0393128
