Common garden,Prov,Bloc,MATp,MAPp,GDD5p,Latitude,Longitude,sf1,sf2,sf3,sf4,sf5,Geno_EST.pb,Geno_OUEST.pb,Geno_CENTRE.pb
Mont-Laurier,321,3,2.672246667,1214.817,1456.48289,46.93333333,-72.1,-0.104610409,0.167763279,-0.128745231,-0.004763931,0.130913402,0.689666667,0.0165,0.293666667
Mont-Laurier,321,4,2.672246667,1214.817,1456.48289,46.93333333,-72.1,-0.104610409,0.167763279,-0.128745231,-0.004763931,0.130913402,0.719166667,0.009166667,0.2715
Mont-Laurier,321,6,2.672246667,1214.817,1456.48289,46.93333333,-72.1,-0.104610409,0.167763279,-0.128745231,-0.004763931,0.130913402,0.897833333,0.005333333,0.097166667
Mont-Laurier,325,3,-1.135693333,945.48113,1079.10529,50.45,-73.63333333,-0.072314575,0.196108238,-0.080575704,-0.095800897,0.22229164,0.2435,0.029833333,0.726833333
Mont-Laurier,325,4,-1.135693333,945.48113,1079.10529,50.45,-73.63333333,-0.072314575,0.196108238,-0.080575704,-0.095800897,0.22229164,0.269,0.008166667,0.723166667
Mont-Laurier,325,6,-1.135693333,945.48113,1079.10529,50.45,-73.63333333,-0.072314575,0.196108238,-0.080575704,-0.095800897,0.22229164,0.4225,0.013666667,0.563833333
Mont-Laurier,326,3,-0.101573333,886.7261667,1153.177077,49.03333333,-73.45,-0.080163333,0.206860495,-0.095569576,-0.083170765,0.219404878,0.242654762,0.021896825,0.735452381
Mont-Laurier,326,4,-0.101573333,886.7261667,1153.177077,49.03333333,-73.45,-0.080163333,0.206860495,-0.095569576,-0.083170765,0.219404878,0.242654762,0.021896825,0.735452381
Mont-Laurier,326,6,-0.101573333,886.7261667,1153.177077,49.03333333,-73.45,-0.080163333,0.206860495,-0.095569576,-0.083170765,0.219404878,0.242654762,0.021896825,0.735452381
Mont-Laurier,329,3,-1.02816,1302.03477,885.3478033,47.86666667,-71.2,-0.122885601,0.148037169,-0.155849891,0.031640377,0.135001864,0.5702,0.0082,0.4216
Mont-Laurier,329,4,-1.02816,1302.03477,885.3478033,47.86666667,-71.2,-0.122885601,0.148037169,-0.155849891,0.031640377,0.135001864,0.700166667,0.0175,0.282166667
Mont-Laurier,329,6,-1.02816,1302.03477,885.3478033,47.86666667,-71.2,-0.122885601,0.148037169,-0.155849891,0.031640377,0.135001864,0.497,0.047833333,0.455166667
Mont-Laurier,332,3,1.356713333,1177.602027,1168.876743,48.5,-67.11666667,-0.17223116,-0.009471905,-0.112836435,0.156761646,-0.103979546,0.792166667,0.014666667,0.193333333
Mont-Laurier,332,4,1.356713333,1177.602027,1168.876743,48.5,-67.11666667,-0.17223116,-0.009471905,-0.112836435,0.156761646,-0.103979546,0.895,0.005,0.099833333
Mont-Laurier,332,6,1.356713333,1177.602027,1168.876743,48.5,-67.11666667,-0.17223116,-0.009471905,-0.112836435,0.156761646,-0.103979546,0.8325,0.009833333,0.158
Mont-Laurier,333,3,-0.334503333,910.4311,1181.792757,49.61666667,-77.75,0.009461968,0.240706245,0.07594618,-0.187982959,0.046262685,0.336,0.019166667,0.644666667
Mont-Laurier,333,4,-0.334503333,910.4311,1181.792757,49.61666667,-77.75,0.009461968,0.240706245,0.07594618,-0.187982959,0.046262685,0.1604,0.0076,0.8318
