Common garden,Year,prevSummerTemp,prevFallTemp,WinterTemp,SpringTemp,SummerTemp,FallTemp,prevSummerSMI,prevFallSMI,Snowfall,SpringSMI,SummerSMI,FallSMI
Mont-Laurier,1976,18.2956,6.6496,-13.4166,2.838566667,16.87086667,3.539166667,81.55276667,80.5493,366.2932,99.09886667,94.99153333,97.09666667
Mont-Laurier,1977,16.87086667,3.539166667,-14.07093333,5.097833333,16.05153333,5.364633333,94.99153333,97.09666667,322.1917,97.1048,88.2758,97.0433
Mont-Laurier,1978,16.05153333,5.364633333,-13.84053333,2.131833333,16.70303333,3.966966667,88.2758,97.0433,283.945,98.4249,82.77233333,87.5543
Mont-Laurier,1979,16.70303333,3.966966667,-14.0121,4.280766667,16.52283333,6.109233333,82.77233333,87.5543,256.1655,99.5186,95.18716667,99.40026667
Mont-Laurier,1980,16.52283333,6.109233333,-11.3901,3.785166667,16.33303333,3.230966667,95.18716667,99.40026667,187.8181,98.9624,95.736,99.81173333
Mont-Laurier,1981,16.33303333,3.230966667,-13.8093,3.612366667,16.57023333,4.644833333,95.736,99.81173333,291.2823,99.5196,95.06046667,99.13573333
Mont-Laurier,1982,16.57023333,4.644833333,-13.4819,2.439033333,14.99283333,6.229233333,95.06046667,99.13573333,239.0286,97.3102,88.419,97.55196667
Mont-Laurier,1983,14.99283333,6.229233333,-9.584066667,2.6623,17.16336667,6.089033333,88.419,97.55196667,269.0441,99.8415,82.4985,79.99893333
Mont-Laurier,1984,17.16336667,6.089033333,-11.8951,1.644266667,17.07816667,5.631766667,82.4985,79.99893333,281.8406,99.16023333,97.5738,98.8579
Mont-Laurier,1985,17.07816667,5.631766667,-11.7207,2.5343,15.91226667,5.965966667,97.5738,98.8579,293.8657,97.7058,95.5067,97.1261
Mont-Laurier,1986,15.91226667,5.965966667,-12.79456667,4.999066667,15.45983333,4.208066667,95.5067,97.1261,256.7402,98.77846667,97.22523333,99.50223333
Mont-Laurier,1987,15.45983333,4.208066667,-10.99973333,5.2475,16.7439,4.8433,97.22523333,99.50223333,196.9002,97.3929,98.08086667,99.49253333
Mont-Laurier,1988,16.7439,4.8433,-10.33953333,3.261033333,17.13306667,5.2619,98.08086667,99.49253333,266.2708,98.95913333,93.4083,99.59053333
Mont-Laurier,1989,17.13306667,5.2619,-12.80586667,1.792233333,17.0267,5.0679,93.4083,99.59053333,251.1344,98.81706667,85.51286667,93.7578
Mont-Laurier,1990,17.0267,5.0679,-13.3347,3.178566667,17.1725,5.451066667,85.51286667,93.7578,281.5383,97.43506667,95.20553333,95.24513333
Mont-Laurier,1991,17.1725,5.451066667,-11.03823333,4.7685,17.4178,5.417533333,95.20553333,95.24513333,290.6047,98.61036667,87.81413333,98.28643333
Mont-Laurier,1992,17.4178,5.417533333,-13.29556667,1.228833333,15.44726667,4.703566667,87.81413333,98.28643333,322.2473,98.49426667,96.81236667,99.6364
Mont-Laurier,1993,15.44726667,4.703566667,-13.0802,3.109766667,17.537,4.047666667,96.81236667,99.6364,304.0718,99.07576667,95.89033333,99.36216667
Mont-Laurier,1994,17.537,4.047666667,-15.62043333,2.7652,17.01133333,6.486933333,95.89033333,99.36216667,288.9486,99.14083333,97.52333333,99.19756667
Mont-Laurier,1995,17.01133333,6.486933333,-10.1942,3.2595,18.0422,4.405733333,97.52333333,99.19756667,234.7766,99.52563333,80.2031,82.8257
Mont-Laurier,1996,18.0422,4.405733333,-13.65643333,1.4744,17.23693333,5.266233333,80.2031,82.8257,304.6116,99.31393333,95.25933333,94.5238
Mont-Laurier,1997,17.23693333,5.266233333,-10.28996667,0.729333333,17.22916667,4.519333333,95.25933333,94.5238,365.675,99.55096667,85.12193333,96.27596667
Mont-Laurier,1998,17.22916667,4.519333333,-8.5532,6.210266667,17.9866,6.880666667,85.12193333,96.27596667,213.7276,96.8964,93.09026667,95.44633333
Mont-Laurier,1999,17.9866,6.880666667,-9.200866667,4.603233333,18.21146667,7.045466667,93.09026667,95.44633333,283.1014,95.0706,90.8921,94.9916
Mont-Laurier,2000,18.21146667,7.045466667,-10.14466667,4.640033333,16.39256667,6.1394,90.8921,94.9916,222.2378,99.38666667,97.6709,99.1005
Mont-Laurier,2001,16.39256667,6.1394,-12.30453333,4.0144,18.04893333,7.5841,97.6709,99.1005,271.3793,97.20396667,93.73676667,99.45686667
Mont-Laurier,2002,18.04893333,7.5841,-6.762,2.393933333,17.77726667,5.798433333,93.73676667,99.45686667,290.8626,99.5862,94.755,87.59223333
Mont-Laurier,2003,17.77726667,5.798433333,-13.27126667,2.4793,18.02693333,6.9954,94.755,87.59223333,238.0967,99.41223333,94.75343333,96.58443333
Mont-Laurier,2004,18.02693333,6.9954,-11.72176667,3.9534,16.57943333,6.800566667,94.75343333,96.58443333,280.6053,99.5549,97.42076667,96.03483333
Mont-Laurier,2005,16.57943333,6.800566667,-11.95993333,3.399433333,19.65946667,7.9835,97.42076667,96.03483333,235.0118,98.18636667,81.66433333,85.16243333
Mont-Laurier,2006,19.65946667,7.9835,-9.173566667,5.257833333,18.13693333,6.8481,81.66433333,85.16243333,250.5711,99.00063333,95.68426667,99.6711
Mont-Laurier,2007,18.13693333,6.8481,-9.8976,3.715133333,17.69923333,7.316933333,95.68426667,99.6711,201.0092,97.87213333,93.40456667,97.71643333
Mont-Laurier,2008,17.69923333,7.316933333,-9.9899,3.2578,17.96286667,6.319733333,93.40456667,97.71643333,347.0453,97.86883333,98.74783333,97.5815
Mont-Laurier,2009,17.96286667,6.319733333,-12.4996,3.8396,17.02146667,6.8706,98.74783333,97.5815,287.2046,99.25496667,97.6914,94.6302
Mont-Laurier,2010,17.02146667,6.8706,-8.2208,7.503033333,18.27066667,6.671666667,97.6914,94.6302,171.9676,97.00606667,82.29236667,98.5128
Mont-Laurier,2011,18.27066667,6.671666667,-10.66426667,3.804833333,18.4219,8.713866667,82.29236667,98.5128,281.3139,99.34246667,95.4269,95.82033333
Mont-Laurier,2012,18.4219,8.713866667,-8.5341,6.398466667,18.34,6.019866667,95.4269,95.82033333,238.6618,97.0392,81.5024,89.9462
Mont-Laurier,2013,18.34,6.019866667,-9.918133333,3.983933333,17.31246667,6.0489,81.5024,89.9462,284.7515,99.11863333,97.5228,97.43093333
Mont-Laurier,2014,17.31246667,6.0489,-13.45446667,1.6428,17.0985,6.373766667,97.5228,97.43093333,252.0411,99.534,96.1271,98.38176667
Mont-Laurier,2015,17.0985,6.373766667,-14.4363,2.923266667,17.1804,7.2676,96.1271,98.38176667,227.2278,89.5722,96.77546667,96.9548
Chibougamau,1978,13.45886667,3.445666667,-18.65243333,-2.998633333,13.8613,0.452,99.03953333,99.5998,283.7738,99.40023333,98.7924,99.8958
Chibougamau,1979,13.8613,0.452,-18.57253333,-0.124233333,14.3648,2.186366667,98.7924,99.8958,310.9918,99.8563,98.68773333,99.93853333
Chibougamau,1980,14.3648,2.186366667,-16.57723333,-0.3446,14.04503333,-0.458433333,98.68773333,99.93853333,288.3077,98.20563333,97.11853333,99.21053333
Chibougamau,1981,14.04503333,-0.458433333,-17.65956667,-0.787633333,14.91503333,2.572533333,97.11853333,99.21053333,292.6917,99.4844,93.05543333,98.5125
Chibougamau,1982,14.91503333,2.572533333,-18.23503333,-2.139566667,12.91923333,3.193366667,93.05543333,98.5125,282.4223,99.2275,98.39023333,99.61413333
Chibougamau,1983,12.91923333,3.193366667,-15.39943333,-1.509366667,15.17583333,3.060766667,98.39023333,99.61413333,327.4887,99.93336667,91.0207,99.50466667
Chibougamau,1984,15.17583333,3.060766667,-17.6393,-1.698833333,14.836,2.3006,91.0207,99.50466667,285.7354,99.34183333,97.97916667,99.35006667
Chibougamau,1985,14.836,2.3006,-17.5591,-3.315866667,13.50213333,1.964233333,97.97916667,99.35006667,292.1856,99.7862,97.85686667,98.55706667
Chibougamau,1986,13.50213333,1.964233333,-19.51153333,-0.1787,12.50123333,-0.473066667,97.85686667,98.55706667,362.4084,99.02623333,97.72373333,99.92706667
Chibougamau,1987,12.50123333,-0.473066667,-16.44936667,0.908533333,14.55153333,1.835466667,97.72373333,99.92706667,228.1621,98.46106667,98.16623333,99.58336667
Chibougamau,1988,14.55153333,1.835466667,-16.59766667,-0.718666667,14.29293333,1.877066667,98.16623333,99.58336667,321.3326,99.45483333,96.85216667,99.9158
Chibougamau,1989,14.29293333,1.877066667,-19.18406667,-2.421633333,14.4399,1.466433333,96.85216667,99.9158,360.3181,99.4222,98.0235,99.42826667
Chibougamau,1990,14.4399,1.466433333,-19.71646667,-1.780566667,14.87946667,1.303233333,98.0235,99.42826667,332.9319,99.58446667,97.47126667,99.79666667
Chibougamau,1991,14.87946667,1.303233333,-17.80823333,-0.5344,15.0258,1.966466667,97.47126667,99.79666667,291.5809,99.78923333,94.97933333,99.88753333
Chibougamau,1992,15.0258,1.966466667,-19.4377,-2.9286,12.82286667,1.6311,94.97933333,99.88753333,365.7303,99.2417,97.1773,99.84283333
Chibougamau,1993,12.82286667,1.6311,-18.8436,-0.942933333,15.72326667,-0.062533333,97.1773,99.84283333,308.3428,99.74646667,98.66396667,99.8933
Chibougamau,1994,15.72326667,-0.062533333,-21.0724,-2.202766667,14.78173333,3.9666,98.66396667,99.8933,287.9804,99.4497,99.01046667,99.64136667
Chibougamau,1995,14.78173333,3.9666,-14.99423333,-1.986666667,15.73773333,1.480166667,99.01046667,99.64136667,432.7283,99.89163333,91.0016,97.166
Chibougamau,1996,15.73773333,1.480166667,-18.96046667,-2.837666667,14.97933333,2.0208,91.0016,97.166,364.4652,99.8411,95.65846667,99.4868
Chibougamau,1997,14.97933333,2.0208,-16.64303333,-4.145233333,14.4074,1.776866667,95.65846667,99.4868,325.1195,99.7949,98.50966667,99.82036667
Chibougamau,1998,14.4074,1.776866667,-13.41843333,1.1933,15.12423333,2.8411,98.50966667,99.82036667,304.6529,98.66723333,96.7651,98.96146667
Chibougamau,1999,15.12423333,2.8411,-15.7571,0.002366667,15.30876667,3.230766667,96.7651,98.96146667,380.3915,98.8087,98.02933333,97.1063
Chibougamau,2000,15.30876667,3.230766667,-16.08986667,-0.100133333,13.39846667,2.7864,98.02933333,97.1063,272.6678,99.61953333,98.73086667,99.59276667
Chibougamau,2001,13.39846667,2.7864,-17.7827,0.084833333,15.2554,4.0179,98.73086667,99.59276667,297.2089,97.70776667,94.34476667,98.26373333
Chibougamau,2002,15.2554,4.0179,-14.40076667,-3.665566667,14.39643333,0.9288,94.34476667,98.26373333,430.5301,99.8795,96.26816667,97.67216667
Chibougamau,2003,14.39643333,0.9288,-18.48326667,-3.477266667,14.56063333,3.270333333,96.26816667,97.67216667,290.3565,98.81036667,95.81153333,98.86033333
Chibougamau,2004,14.56063333,3.270333333,-17.3743,-2.9944,13.34446667,3.1704,95.81153333,98.86033333,368.5701,99.90253333,97.00043333,99.0824
Chibougamau,2005,13.34446667,3.1704,-19.15606667,-0.589233333,15.67513333,3.731433333,97.00043333,99.0824,248.3627,99.18803333,87.74336667,93.25003333
Chibougamau,2006,15.67513333,3.731433333,-15.7201,1.628266667,14.8029,3.0496,87.74336667,93.25003333,257.5399,98.36846667,86.91066667,95.2735
Chibougamau,2007,14.8029,3.0496,-15.95723333,-1.221566667,13.94993333,3.0013,86.91066667,95.2735,279.6919,98.12403333,96.0043,99.5137
Chibougamau,2008,13.94993333,3.0013,-16.5685,-2.289966667,15.12033333,3.283733333,96.0043,99.5137,321.9308,99.514,98.94123333,98.6847
Chibougamau,2009,15.12033333,3.283733333,-18.77553333,-2.589066667,14.7028,3.857,98.94123333,98.6847,326.218,99.7892,96.44903333,99.18673333
Chibougamau,2010,14.7028,3.857,-12.14353333,1.701033333,15.0366,2.781066667,96.44903333,99.18673333,262.1107,98.62566667,92.50256667,99.65703333
Chibougamau,2011,15.0366,2.781066667,-15.77506667,-1.646433333,15.09666667,4.804233333,92.50256667,99.65703333,321.6761,99.67303333,98.16206667,98.84403333
Chibougamau,2012,15.09666667,4.804233333,-15.44506667,1.15,15.87163333,3.825333333,98.16206667,98.84403333,254.2012,99.3642,97.85356667,99.67523333
Chibougamau,2013,15.87163333,3.825333333,-15.49026667,0.604333333,14.69016667,3.237566667,97.85356667,99.67523333,367.884,99.24206667,95.90803333,99.2416
Chibougamau,2014,14.69016667,3.237566667,-19.2879,-3.682433333,15.6835,2.229766667,95.90803333,99.2416,322.7514,99.3924,97.0093,99.28356667
Chibougamau,2015,15.6835,2.229766667,-20.35463333,-2.350733333,15.43063333,4.401533333,97.0093,99.28356667,266.0954,81.8985,98.7266,99.2997
Chibougamau,2016,15.43063333,4.401533333,-12.69263333,-2.892233333,14.2386,2.904766667,98.7266,99.2997,528.4798,99.3947,97.5749,99.91386667
